dense_completed_updates,target_training_seconds,dense_validation_loss,q64_completed_updates,q64_training_seconds,q64_time_delta_seconds,q64_validation_loss,q128_completed_updates,q128_training_seconds,q128_time_delta_seconds,q128_validation_loss,q256_completed_updates,q256_training_seconds,q256_time_delta_seconds,q256_validation_loss
0,0.0,10.95423583984375,0,0.0,0.0,11.05128173828125,0,0.0,0.0,10.99344482421875,0,0.0,0.0,11.00213623046875
25,27.04378398301924,7.586480712890625,0,0.0,-27.04378398301924,11.05128173828125,0,0.0,-27.04378398301924,10.99344482421875,0,0.0,-27.04378398301924,11.00213623046875
50,54.32764641499671,7.5748741149902346,25,85.98741437503486,31.659767960038153,7.461773300170899,25,84.93228904699208,30.604642631995375,7.513258361816407,25,99.43356341699109,45.105917001994385,7.493551635742188
75,81.83625681899866,7.521923065185547,25,85.98741437503486,4.151157556036196,7.461773300170899,25,84.93228904699208,3.096032227993419,7.513258361816407,25,99.43356341699109,17.59730659799243,7.493551635742188
100,109.59777764098544,7.405464935302734,25,85.98741437503486,-23.610363265950582,7.461773300170899,25,84.93228904699208,-24.66548859399336,7.513258361816407,25,99.43356341699109,-10.16421422399435,7.493551635742188
125,137.6271988189983,7.40716552734375,50,172.626334849032,34.999136030033696,7.2568096160888675,50,169.70933612896624,32.08213730996795,7.255897140502929,25,99.43356341699109,-38.1936354020072,7.493551635742188
150,165.5629330370066,6.996857452392578,50,172.626334849032,7.063401812025404,7.2568096160888675,50,169.70933612896624,4.146403091959655,7.255897140502929,50,199.11782565097383,33.55489261396724,7.324332809448242
175,193.45875234800042,7.133022308349609,50,172.626334849032,-20.832417498968425,7.2568096160888675,50,169.70933612896624,-23.749416219034174,7.255897140502929,50,199.11782565097383,5.659073302973411,7.324332809448242
200,221.3554106090087,7.214347839355469,75,255.34748312903685,33.99207252002816,7.008898544311523,75,254.60419810396706,33.24878749495838,6.980571365356445,50,199.11782565097383,-22.23758495803486,7.324332809448242
225,249.29394937500183,7.130187225341797,75,255.34748312903685,6.053533754035016,7.008898544311523,75,254.60419810396706,5.3102487289652345,6.980571365356445,75,298.9062986599747,49.61234928497288,7.070853042602539
250,277.23052703702706,6.843830871582031,75,255.34748312903685,-21.883043907990213,7.008898544311523,75,254.60419810396706,-22.626328933059995,6.980571365356445,75,298.9062986599747,21.67577162294765,7.070853042602539
